15,20.023292,1702458847
15,19.829976,1702458848
21,19.894094,1702458849
15,19.618068,1702458849
15,19.668799,1702458850
37,19.764897,1702458851
15,19.426684,1702458851
21,19.905368,1702458852
15,19.297360,1702458852
37,19.980761,1702458853
15,19.105308,1702458853
15,19.069176,1702458854
21,19.931907,1702458855
37,19.745745,1702458855
15,19.272117,1702458855
15,19.136340,1702458856
37,19.727517,1702458857
15,18.897987,1702458857
21,19.948158,1702458858
15,18.662351,1702458858
37,19.961774,1702458859
15,18.776115,1702458859
15,18.556795,1702458860
21,20.194229,1702458861
37,19.764386,1702458861
15,18.315187,1702458861
